Serial|Price|Sold.Date|Size|Address
1|1.51M|2/20/15|4 bd, 3 ba, 2,508 sqft|162 Coronado Ave, San Carlos, CA
2|900,000|2/2/15|3 bd, 1 ba, 980 sqft|10 Flower St, Redwood City, CA
3|970,000|1/30/15|3 bd, 2.5 ba, 1,720 sqft|1230 Greenbrier Rd, San Carlos, CA
4|688,000|1/30/15|2 bd, 2 ba, 1,300 sqft|1700 San Carlos Ave APT 202, San Carlos, CA
5|325,000|1/29/15|3 bd, 2 ba, 1,600 sqft|73 Wessex Way, San Carlos, CA
6|1.59M|1/28/15|3 bd, 2.5 ba, 3,268 sqft|179 Bay View Dr, San Carlos, CA
7|885,000|1/27/15|2 bd, 1 ba, 870 sqft|1005 Cherry St, San Carlos, CA
8|1.44M|1/23/15|3 bd, 2 ba, 1,617 sqft|1153 Walnut St, San Carlos, CA
9|826,000|1/16/15|2 bd, 1 ba, 830 sqft|961 Hall St, San Carlos, CA
10|1.62M|1/15/15|3 bd, 2 ba, 1,680 sqft|1924 Saint Francis Way, San Carlos, CA
11|1.53M|1/13/15|4 bd, 2 ba, 1,830 sqft|35 Carmel Ln, Redwood City, CA
12|1.15M|1/9/15|2 bd, 1 ba, 920 sqft|25 Wildwood Ave, San Carlos, CA
13|1.52M|1/9/15|4 bd, 3 ba, 2,720 sqft|208 Exeter Ave, San Carlos, CA
14|730,000|1/9/15|3 bd, 2 ba, 1,239 sqft|3332 Brittan Ave APT 6, San Carlos, CA
15|1.25M|1/7/15|3 bd, 3 ba, 2,360 sqft|240 Chesham Ave, San Carlos, CA
16|718,000|1/7/15|4 bd, 3 ba, 2,300 sqft|79 Dartmouth Ave, San Carlos, CA
17|1.69M|1/6/15|4 bd, 3 ba, 2,333 sqft|3394 Melendy Dr, San Carlos, CA
18|1.75M|1/2/15|4 bd, 3 ba, 3,300 sqft|2880 Eaton Ave, San Carlos, CA
19|1.55M|12/31/14|4 bd, 3 ba, 2,620 sqft|330 Emerald Ave, San Carlos, CA
20|820,000|12/31/14|2 bd, 1 ba, 820 sqft|1031 Sylvan Dr, San Carlos, CA
21|750,000|12/30/14|2 bd, 2.5 ba, 1,350 sqft|416 Portofino Dr APT 102, San Carlos, CA
22|1.24M|12/27/14|2 bd, 2 ba, 1,440 sqft|128 Garnet Ave, San Carlos, CA
23|1.56M|12/25/14|3 bd, 3 ba, 1,500 sqft|1930 Belmont Ave, San Carlos, CA
24|617,000|12/24/14|2 bd, 2 ba, 1,040 sqft|3374 Brittan Ave APT 2, San Carlos, CA
25|850,000|12/23/14|4 bd, 2 ba, 1,670 sqft|1527 Magnolia Ave, San Carlos, CA
26|1.23M|12/23/14|3 bd, 1 ba, 1,650 sqft|203 Club Dr, San Carlos, CA
27|1.32M|12/22/14|4 bd, 3 ba, 1,980 sqft|2810 San Carlos Ave, San Carlos, CA
28|2.1M|12/19/14|2 bd, 2 ba, 1,200 sqft|436 Laurel St, San Carlos, CA
29|1.8M|12/12/14|4 bd, 2 ba, 1,850 sqft|1368 Oakhurst Ave, San Carlos, CA
